"gate bias","dydx 1"
-8.0000000000e+00,8.2154200000e-06
-7.5000000000e+00,9.6940000000e-06
-7.0000000000e+00,1.2010100000e-05
-6.8000000000e+00,1.5297600000e-05
-6.6000000000e+00,1.8129600000e-05
-6.4000000000e+00,2.1935600000e-05
-6.2000000000e+00,2.6828500000e-05
-6.0000000000e+00,3.2901100000e-05
-5.8000000000e+00,4.0822700000e-05
-5.6000000000e+00,5.1812000000e-05
-5.4000000000e+00,6.9516300000e-05
-5.2000000000e+00,1.1121500000e-04
-5.0000000000e+00,2.5871100000e-04
-4.8000000000e+00,5.1915500000e-04
-4.6000000000e+00,7.7273600000e-04
-4.4000000000e+00,9.5282400000e-04
-4.2000000000e+00,1.0504300000e-03
-4.0000000000e+00,1.0835700000e-03
-3.8000000000e+00,1.0819000000e-03
-3.6000000000e+00,1.0637900000e-03
-3.4000000000e+00,1.0358700000e-03
-3.2000000000e+00,9.9869700000e-04
-3.0000000000e+00,9.5614700000e-04
-2.8000000000e+00,9.1213200000e-04
-2.6000000000e+00,8.6683600000e-04
-2.4000000000e+00,8.2104400000e-04
-2.2000000000e+00,7.7215400000e-04
-2.0000000000e+00,7.2479100000e-04
-1.8000000000e+00,6.9488300000e-04
-1.7000000000e+00,6.7252000000e-04
-1.6500000000e+00,6.7230300000e-04
-1.6000000000e+00,6.5034500000e-04
-1.5500000000e+00,6.4192400000e-04
-1.5000000000e+00,6.3228700000e-04
-1.4500000000e+00,6.2625700000e-04
-1.4250000000e+00,6.2076100000e-04
-1.4000000000e+00,5.6547900000e-04
